Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Affected hardware),Custom field (Affected services),Custom field (Approvals),Custom field (Backout plan),Custom field (Begin Date),Custom field (Category),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Design),Custom field (Development),Custom field (End Date),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Impact),Custom field (Implementation plan),Custom field (Investigation reason),Custom field (Issue color),Custom field (Locked forms),Custom field (Major incident),Custom field (Open forms),Custom field (Operational categorization),Custom field (Pending reason),Custom field (Planned end),Custom field (Planned start),Custom field (Product categorization),Custom field (Rank),Custom field (Request Type),Custom field (Request language),Custom field (Request participants),Custom field (Responders),Custom field (Revision),Custom field (Root cause),Satisfaction rating,Custom field (Satisfaction date),Custom field (Severity),Custom field (Source),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Test plan),Custom field (Time to close after resolution),Custom field (Time to first response),Custom field (Time to resolution),Custom field (Time to review normal change),Custom field (Total forms),Custom field (Urgency),Custom field (Urgency),Custom field (Work category),Custom field (Workaround),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Status Category,Status Category Changed
[TC]- Pop-up Screen for Downloads and Deletions,TOB-174,10198,Test,Done,TOB,tobeto_education_platform,software,elif,712020:d23410fb-3f92-4227-8a57-0fb51899f724,,Medium,Done,esra urhan çınar,712020:d8902fa6-6610-4acb-b0f3-10071626e113,Elif ACET,712020:ecdef04b-a9ca-4c71-92d0-bf6ec8a0ee46,Elif ACET,712020:ecdef04b-a9ca-4c71-92d0-bf6ec8a0ee46,13/Feb/24 8:10 PM,21/Feb/24 3:45 PM,05/Mar/24 6:02 PM,21/Feb/24 3:45 PM,,0,Kullanıcı işlem başlığı altındaki indirme ikonuna tıkladığında sertifikayı yerel cihazına indirebilmeli ve sil ikonuna tıkladığında bir bilgilendirme pop-up ekranı açıldığını kontrol etmek.,,Elif ACET,712020:ecdef04b-a9ca-4c71-92d0-bf6ec8a0ee46,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@63e3840e,,,,,,,,,,,,,,,,,,,,,,,,,0|i000b6:zzzzzzzzzzzzzzz09,,,,,,,,,,,TOB Sprint 1,,,,,,,,,,,,,,,,,,,10029_*:*_1_*:*_662792687_*|*_3_*:*_1_*:*_12557767_*|*_10020_*:*_1_*:*_0,Done,21/Feb/24 3:45 PM
[TC]-Details of Certificate List,TOB-173,10197,Test,Done,TOB,tobeto_education_platform,software,elif,712020:d23410fb-3f92-4227-8a57-0fb51899f724,,Medium,Done,esra urhan çınar,712020:d8902fa6-6610-4acb-b0f3-10071626e113,Elif ACET,712020:ecdef04b-a9ca-4c71-92d0-bf6ec8a0ee46,Elif ACET,712020:ecdef04b-a9ca-4c71-92d0-bf6ec8a0ee46,13/Feb/24 8:06 PM,21/Feb/24 3:45 PM,05/Mar/24 6:02 PM,21/Feb/24 3:45 PM,,0,Sertifika detaylarının doğru bir şekilde listelendiğini ve kullanıcıya gerekli işlemleri yapma imkanı sağlandığını kontrol etmek.,,Elif ACET,712020:ecdef04b-a9ca-4c71-92d0-bf6ec8a0ee46,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@56db19c6,,,,,,,,,,,,,,,,,,,,,,,,,0|i000b6:zzzzzzzzzzzzzzz1,,,,,,,,,,,TOB Sprint 1,,,,,,,,,,,,,,,,,,,10029_*:*_1_*:*_663000757_*|*_3_*:*_1_*:*_12566512_*|*_10020_*:*_1_*:*_0,Done,21/Feb/24 3:45 PM
[TC]- List of Certificates Titles,TOB-172,10196,Test,Done,TOB,tobeto_education_platform,software,elif,712020:d23410fb-3f92-4227-8a57-0fb51899f724,,Medium,Done,esra urhan çınar,712020:d8902fa6-6610-4acb-b0f3-10071626e113,Elif ACET,712020:ecdef04b-a9ca-4c71-92d0-bf6ec8a0ee46,Elif ACET,712020:ecdef04b-a9ca-4c71-92d0-bf6ec8a0ee46,13/Feb/24 8:00 PM,21/Feb/24 3:45 PM,05/Mar/24 6:02 PM,21/Feb/24 3:45 PM,,0,"Kaydedilen sertifikaların listesinde en üstte sırasıyla 'Dosya Adı', 'Dosya Türü', 'Tarih' ve 'İşlem' başlıklarının yer alıp almadığını kontrol etmek. Eğer listelenecek herhangi bir sertifika yoksa bu başlık ekranda gösterilmediğini gösterildiğini kontrol etmek.",,Elif ACET,712020:ecdef04b-a9ca-4c71-92d0-bf6ec8a0ee46,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@4dfd1b06,,,,,,,,,,,,,,,,,,,,,,,,,0|i000b6:zzzzzzzzzzzzzzz4,,,,,,,,,,,TOB Sprint 1,,,,,,,,,,,,,,,,,,,10029_*:*_1_*:*_663328810_*|*_3_*:*_1_*:*_12574363_*|*_10020_*:*_1_*:*_0,Done,21/Feb/24 3:45 PM
[TC]- Certificate List,TOB-171,10195,Test,Done,TOB,tobeto_education_platform,software,elif,712020:d23410fb-3f92-4227-8a57-0fb51899f724,,Medium,Done,esra urhan çınar,712020:d8902fa6-6610-4acb-b0f3-10071626e113,Elif ACET,712020:ecdef04b-a9ca-4c71-92d0-bf6ec8a0ee46,Elif ACET,712020:ecdef04b-a9ca-4c71-92d0-bf6ec8a0ee46,13/Feb/24 7:55 PM,21/Feb/24 3:47 PM,05/Mar/24 6:02 PM,21/Feb/24 3:47 PM,,0,"Kullanıcının yüklemiş olduğu sertifikalar, ekranın sağ tarafında bulunan ""Sertifikalarım"" dosyasının yüklenebileceği kutunun hemen altında liste şeklinde gösterilmelidir. Listede en fazla 7 adet sertifika bilgisi gösterilmelidir. Eğer kullanıcı 7 adetten fazla sertifika yüklemişse, sertifika listesi 2. sayfaya geçiş yapmalıdır. Kullanıcı 2. sayfaya listenin en altındaki sağ ve sol oklar yardımıyla ayrıca sayfa numaralarına tıklayarak da gitmek istediği sayfaya gidebilmelidir. Ekranın sağ alt köşesinde bulunan sayfa numarası koyu arka planla  gösterildiğini kontrol etmek.",,Elif ACET,712020:ecdef04b-a9ca-4c71-92d0-bf6ec8a0ee46,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@161e7f28,,,,,,,,,,,,,,,,,,,,,,,,,0|i000b6:zzzzzzzzzzzzzzzzzx,,,,,,,,,,,TOB Sprint 1,,,,,,,,,,,,,,,,,,,10029_*:*_1_*:*_666531037_*|*_3_*:*_1_*:*_9785106_*|*_10020_*:*_1_*:*_0,Done,21/Feb/24 3:47 PM
[TC]-Certificate File Type,TOB-170,10194,Test,Done,TOB,tobeto_education_platform,software,elif,712020:d23410fb-3f92-4227-8a57-0fb51899f724,,Medium,Done,esra urhan çınar,712020:d8902fa6-6610-4acb-b0f3-10071626e113,Elif ACET,712020:ecdef04b-a9ca-4c71-92d0-bf6ec8a0ee46,Elif ACET,712020:ecdef04b-a9ca-4c71-92d0-bf6ec8a0ee46,13/Feb/24 7:31 PM,21/Feb/24 3:45 PM,05/Mar/24 6:02 PM,21/Feb/24 3:45 PM,,0,"Kullanıcı sadece jpeg, png ve pdf dosya türlerindeki sertifikalarını yükleyebilmelidir. Eğer kullanıcı bu dosya türlerinin haricinde bir dosya türünde sertifika yüklemek isterse ekranda bir uyarı mesajının gösterildiğini kontrol etmek.",,Elif ACET,712020:ecdef04b-a9ca-4c71-92d0-bf6ec8a0ee46,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@7b761433,,,,,,,,,,,,,,,,,,,,,,,,,0|i000b6:zzzzzzzzzzzzzzz2,,,,,,,,,,,TOB Sprint 1,,,,,,,,,,,,,,,,,,,10029_*:*_1_*:*_665115163_*|*_3_*:*_1_*:*_12569723_*|*_10020_*:*_1_*:*_0,Done,21/Feb/24 3:45 PM
[TC]-File Size During Certificate Upload,TOB-169,10193,Test,Done,TOB,tobeto_education_platform,software,elif,712020:d23410fb-3f92-4227-8a57-0fb51899f724,,Medium,Done,esra urhan çınar,712020:d8902fa6-6610-4acb-b0f3-10071626e113,Elif ACET,712020:ecdef04b-a9ca-4c71-92d0-bf6ec8a0ee46,Elif ACET,712020:ecdef04b-a9ca-4c71-92d0-bf6ec8a0ee46,13/Feb/24 7:26 PM,21/Feb/24 3:46 PM,05/Mar/24 6:02 PM,21/Feb/24 3:46 PM,,0,"Kullanıcı tek seferde sadece bir adet sertifika yükleyebilmeli ve yüklenilecek sertifikanın dosya boyutu en fazla 5 MB boyutunda olmalıdır.Eğer kullanıcının yüklemek istediği sertifikanın dosya boyutu 5 MB'dan büyükse,açılan pop-up ekranında kullanıcıya bir uyarı mesajını kontrol etmek.",,Elif ACET,712020:ecdef04b-a9ca-4c71-92d0-bf6ec8a0ee46,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@683bc66c,,,,,,,,,,,,,,,,,,,,,,,,,0|i000b6:zzzzzzzzzzzzzzzo,,,,,,,,,,,TOB Sprint 1,,,,,,,,,,,,,,,,,,,10029_*:*_1_*:*_659981284_*|*_3_*:*_1_*:*_18034296_*|*_10020_*:*_1_*:*_0,Done,21/Feb/24 3:46 PM
[TC]-Certificate Upload Pop-up Screen,TOB-168,10192,Test,Done,TOB,tobeto_education_platform,software,elif,712020:d23410fb-3f92-4227-8a57-0fb51899f724,,Medium,Done,esra urhan çınar,712020:d8902fa6-6610-4acb-b0f3-10071626e113,Elif ACET,712020:ecdef04b-a9ca-4c71-92d0-bf6ec8a0ee46,Elif ACET,712020:ecdef04b-a9ca-4c71-92d0-bf6ec8a0ee46,13/Feb/24 7:16 PM,21/Feb/24 3:46 PM,05/Mar/24 6:02 PM,21/Feb/24 3:46 PM,,0,Kullanıcı yüklemek istediği sertifikayla ilgili açılan pop-up ekranında gereken tüm öğelerin doğru şekilde yer aldığını ve sertifikanın başarılı bir şekilde yüklendiğini kontrol etmek.,,Elif ACET,712020:ecdef04b-a9ca-4c71-92d0-bf6ec8a0ee46,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@783b3dc2,,,,,,,,,,,,,,,,,,,,,,,,,0|i000b6:zzzzzzzzzzzzzzz8,,,,,,,,,,,TOB Sprint 1,,,,,,,,,,,,,,,,,,,10029_*:*_1_*:*_666016504_*|*_3_*:*_1_*:*_12577701_*|*_10020_*:*_1_*:*_0,Done,21/Feb/24 3:46 PM
[TC]-Displaying Certificate Information on the Pop-up Screen,TOB-167,10191,Test,Done,TOB,tobeto_education_platform,software,elif,712020:d23410fb-3f92-4227-8a57-0fb51899f724,,Medium,Done,esra urhan çınar,712020:d8902fa6-6610-4acb-b0f3-10071626e113,Elif ACET,712020:ecdef04b-a9ca-4c71-92d0-bf6ec8a0ee46,Elif ACET,712020:ecdef04b-a9ca-4c71-92d0-bf6ec8a0ee46,13/Feb/24 7:05 PM,21/Feb/24 3:46 PM,05/Mar/24 6:02 PM,21/Feb/24 3:46 PM,,0,":Kullanıcı sertifikasını yüklediğinde, pop-up ekranında sertifikaya ait bilgilerin görüntülenmesini kontrol etmek.",,Elif ACET,712020:ecdef04b-a9ca-4c71-92d0-bf6ec8a0ee46,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@30ca7e97,,,,,,,,,,,,,,,,,,,,,,,,,0|i000b6:zzzzzzzzzzzzzzzg,,,,,,,,,,,TOB Sprint 1,,,,,,,,,,,,,,,,,,,10029_*:*_1_*:*_661201779_*|*_3_*:*_1_*:*_18009261_*|*_10020_*:*_1_*:*_0,Done,21/Feb/24 3:46 PM
[TC]- Opening the Pop-up Window for Installing Certificates,TOB-166,10190,Test,Done,TOB,tobeto_education_platform,software,elif,712020:d23410fb-3f92-4227-8a57-0fb51899f724,,Medium,Done,esra urhan çınar,712020:d8902fa6-6610-4acb-b0f3-10071626e113,Elif ACET,712020:ecdef04b-a9ca-4c71-92d0-bf6ec8a0ee46,Elif ACET,712020:ecdef04b-a9ca-4c71-92d0-bf6ec8a0ee46,13/Feb/24 7:00 PM,20/Feb/24 8:59 PM,05/Mar/24 6:02 PM,20/Feb/24 8:59 PM,,0,"Kullanıcı sertifikalarını yüklemek için ilgili ikona tıkladığında pop-up şeklinde bir pencerenin ekranda açılması gerekmektedir. Açılan pop-up penceresinde ""Sürükleyip bırak, yapıştır veya gözat"" yazısı yer almalıdır. Kullanıcı sertifika dosyasını istediği şekilde pop-up ekranına yükleyebilmelidir: sürükleyip bırakarak, kopyalayıp yapıştırarak veya gözat seçeneğine tıklayarak lokalde dosyayı seçerek kaydolduğunu kontrol etmek.",,Elif ACET,712020:ecdef04b-a9ca-4c71-92d0-bf6ec8a0ee46,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@6d56bff5,,,,,,,,,,,,,,,,,,,,,,,,,0|i00036:2,,,,,,,,,,,TOB Sprint 1,,,,,,,,,,,,,,,,,,,10029_*:*_1_*:*_581055092_*|*_3_*:*_1_*:*_30879879_*|*_10020_*:*_1_*:*_0,Done,20/Feb/24 8:59 PM
[TC]-Installing Certificates,TOB-165,10189,Test,Done,TOB,tobeto_education_platform,software,elif,712020:d23410fb-3f92-4227-8a57-0fb51899f724,,Medium,Done,esra urhan çınar,712020:d8902fa6-6610-4acb-b0f3-10071626e113,Elif ACET,712020:ecdef04b-a9ca-4c71-92d0-bf6ec8a0ee46,Elif ACET,712020:ecdef04b-a9ca-4c71-92d0-bf6ec8a0ee46,13/Feb/24 6:55 PM,21/Feb/24 3:46 PM,05/Mar/24 6:02 PM,21/Feb/24 3:46 PM,,0,"Kullanıcının ""Sertifikalarım"" bölümünde, sağ tarafta ""Sertifikalarım"" başlığı ve hemen altında sertifikalarını yükleyebileceği bir kutucuk bulunmalıdır. Kutucuğun içerisinde tıklanabilir bir logo ve logonun hemen altında ""Dosya Yükle"" yazısının yer aldığını kontrol etmek.",,Elif ACET,712020:ecdef04b-a9ca-4c71-92d0-bf6ec8a0ee46,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@91762b5,,,,,,,,,,,,,,,,,,,,,,,,,0|i000b6:zzzzzzzzzzzzzzzzx,,,,,,,,,,,TOB Sprint 1,,,,,,,,,,,,,,,,,,,10029_*:*_1_*:*_670085749_*|*_3_*:*_1_*:*_9760340_*|*_10020_*:*_1_*:*_0,Done,21/Feb/24 3:46 PM
"[TC]-Changing the Color of the ""My Certificates"" Section",TOB-164,10188,Test,Done,TOB,tobeto_education_platform,software,elif,712020:d23410fb-3f92-4227-8a57-0fb51899f724,,Medium,Done,esra urhan çınar,712020:d8902fa6-6610-4acb-b0f3-10071626e113,Elif ACET,712020:ecdef04b-a9ca-4c71-92d0-bf6ec8a0ee46,Elif ACET,712020:ecdef04b-a9ca-4c71-92d0-bf6ec8a0ee46,13/Feb/24 6:49 PM,20/Feb/24 8:59 PM,05/Mar/24 6:02 PM,20/Feb/24 8:59 PM,,0,"Kullanıcının ""Sertifikalarım"" yazısına tıkladığında,yazının rengi mor ile değişmeli, ""Sertifikalarım"" yazısının sağ tarafında bir mor renkli dik çizgi ile vurgulanmalı ve sol tarafında ""Sertifikalarım"" ait bir ikonun gösterildiğini kontrol etmek.",,Elif ACET,712020:ecdef04b-a9ca-4c71-92d0-bf6ec8a0ee46,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@48472346,,,,,,,,,,,,,,,,,,,,,,,,,0|i00036:d,,,,,,,,,,,TOB Sprint 1,,,,,,,,,,,,,,,,,,,10029_*:*_1_*:*_581689063_*|*_3_*:*_1_*:*_30879330_*|*_10020_*:*_1_*:*_0,Done,20/Feb/24 8:59 PM
[PC]-You must be registered to the system before with valid information,TOB-163,10187,Precondition,Done,TOB,tobeto_education_platform,software,elif,712020:d23410fb-3f92-4227-8a57-0fb51899f724,,Medium,Done,esra urhan çınar,712020:d8902fa6-6610-4acb-b0f3-10071626e113,Elif ACET,712020:ecdef04b-a9ca-4c71-92d0-bf6ec8a0ee46,Elif ACET,712020:ecdef04b-a9ca-4c71-92d0-bf6ec8a0ee46,13/Feb/24 6:48 PM,21/Feb/24 3:45 PM,05/Mar/24 6:02 PM,21/Feb/24 3:45 PM,,0,,,Elif ACET,712020:ecdef04b-a9ca-4c71-92d0-bf6ec8a0ee46,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@4ed0dd37,,,,,,,,,,,,,,,,,,,,,,,,,0|i000b6:zzzzzzzzzzzzzzz,,,,,,,,,,,TOB Sprint 1,,,,,,,,,,,,,,,,,,,10029_*:*_1_*:*_662252219_*|*_3_*:*_1_*:*_17997136_*|*_10020_*:*_1_*:*_0,Done,21/Feb/24 3:45 PM
[TS]-certificate section,TOB-161,10185,Test Set,Done,TOB,tobeto_education_platform,software,elif,712020:d23410fb-3f92-4227-8a57-0fb51899f724,,Medium,Done,esra urhan çınar,712020:d8902fa6-6610-4acb-b0f3-10071626e113,Elif ACET,712020:ecdef04b-a9ca-4c71-92d0-bf6ec8a0ee46,Elif ACET,712020:ecdef04b-a9ca-4c71-92d0-bf6ec8a0ee46,13/Feb/24 6:44 PM,20/Feb/24 8:59 PM,05/Mar/24 6:02 PM,20/Feb/24 8:59 PM,,0,"Profilim bölümündeki ""Sertifikalarım"" bölümü test edilecektir",,Elif ACET,712020:ecdef04b-a9ca-4c71-92d0-bf6ec8a0ee46,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@8cd9d0f,,,,,,,,,,,,,,,,,,,,,,,,,0|i00036:9,,,,,,,,,,,TOB Sprint 1,,,,,,,,,,,,,,,,,,,10029_*:*_1_*:*_582001439_*|*_3_*:*_1_*:*_30880780_*|*_10020_*:*_1_*:*_0,Done,20/Feb/24 8:59 PM
[TC]- Answers to User Questions,TOB-160,10184,Test,Done,TOB,tobeto_education_platform,software,elif,712020:d23410fb-3f92-4227-8a57-0fb51899f724,,Medium,Done,,,Yasin Turgut,712020:c7948410-318b-48be-9481-8f5ca7cb0f4e,Yasin Turgut,712020:c7948410-318b-48be-9481-8f5ca7cb0f4e,13/Feb/24 5:44 PM,20/Feb/24 9:30 PM,05/Mar/24 6:02 PM,20/Feb/24 9:30 PM,,0,Kullanıcılar mesaj bölümüne yazdıkları soruların cevaplarını alabilmelidirler. Takriben oluşabilicek 100 Müşteri sorusunun cevabı cevap.xlsx dosyası içindedir.,,Yasin Turgut,712020:c7948410-318b-48be-9481-8f5ca7cb0f4e,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1cd7fe56,,,,,,,,,,,,,,,,,,,,,,,,,0|i000b6:zzzzzzzzzzzxx,,,,,,,,,,,TOB Sprint 1,,,,,,,,,,,,,,,,,,,10029_*:*_1_*:*_616521926_*|*_3_*:*_1_*:*_1872048_*|*_10020_*:*_1_*:*_0,Done,20/Feb/24 9:30 PM
[TC]-Feedback and Message Section Controls,TOB-159,10183,Test,Done,TOB,tobeto_education_platform,software,elif,712020:d23410fb-3f92-4227-8a57-0fb51899f724,,Medium,Done,,,Yasin Turgut,712020:c7948410-318b-48be-9481-8f5ca7cb0f4e,Yasin Turgut,712020:c7948410-318b-48be-9481-8f5ca7cb0f4e,13/Feb/24 5:39 PM,20/Feb/24 9:30 PM,05/Mar/24 6:02 PM,20/Feb/24 9:30 PM,,0,"Kullanıcılar görüşmeyi bitirdiğinde, görüşmeleri hakkında geri bildirim almak için mesaj ekranına puanlama tablosu gelmelidir. 
",,Yasin Turgut,712020:c7948410-318b-48be-9481-8f5ca7cb0f4e,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@246ac811,,,,,,,,,,,,,,,,,,,,,,,,,0|i000b6:zzzzzzzzzzzy9,,,,,,,,,,,TOB Sprint 1,,,,,,,,,,,,,,,,,,,10029_*:*_1_*:*_616785531_*|*_3_*:*_1_*:*_1877237_*|*_10020_*:*_1_*:*_0,Done,20/Feb/24 9:30 PM
[TC]-Ending Call Icon and Warning Message,TOB-158,10182,Test,Done,TOB,tobeto_education_platform,software,elif,712020:d23410fb-3f92-4227-8a57-0fb51899f724,,Medium,Done,,,Yasin Turgut,712020:c7948410-318b-48be-9481-8f5ca7cb0f4e,Yasin Turgut,712020:c7948410-318b-48be-9481-8f5ca7cb0f4e,13/Feb/24 5:33 PM,21/Feb/24 3:45 PM,05/Mar/24 6:02 PM,21/Feb/24 3:45 PM,,0,"Sağ üst kısımda mesajlaşmayı bitirme ikonu bulunmalı ve tıklanıldığında 

kullanıcıya ""Görüşmeyi bitirmek istediğinize emin misiniz” şeklinde uyarı mesajı alınmalıdır.
",,Yasin Turgut,712020:c7948410-318b-48be-9481-8f5ca7cb0f4e,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1b4b8803,,,,,,,,,,,,,,,,,,,,,,,,,0|i000b6:zzzzzzzzzzzzzzyr,,,,,,,,,,,TOB Sprint 1,,,,,,,,,,,,,,,,,,,10029_*:*_1_*:*_672149434_*|*_3_*:*_1_*:*_12565053_*|*_10020_*:*_1_*:*_0,Done,21/Feb/24 3:45 PM
[TC]-Chatbot Window and Icon Controls,TOB-157,10181,Test,Done,TOB,tobeto_education_platform,software,elif,712020:d23410fb-3f92-4227-8a57-0fb51899f724,,Medium,Done,,,Yasin Turgut,712020:c7948410-318b-48be-9481-8f5ca7cb0f4e,Yasin Turgut,712020:c7948410-318b-48be-9481-8f5ca7cb0f4e,13/Feb/24 5:14 PM,21/Feb/24 3:46 PM,05/Mar/24 6:02 PM,21/Feb/24 3:46 PM,,0,Chatbot Penceresi ve İkon Varlık Kontrolü,,Yasin Turgut,712020:c7948410-318b-48be-9481-8f5ca7cb0f4e,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@82cd981,,,,,,,,,,,,,,,,,,,,,,,,,0|i000b6:zzzzzzzzzzzzzzzz,,,,,,,,,,,TOB Sprint 1,,,,,,,,,,,,,,,,,,,10029_*:*_1_*:*_676177397_*|*_3_*:*_1_*:*_9769229_*|*_10020_*:*_1_*:*_0,Done,21/Feb/24 3:46 PM
[TC]-Chatbot Button and Text Control,TOB-156,10180,Test,Done,TOB,tobeto_education_platform,software,elif,712020:d23410fb-3f92-4227-8a57-0fb51899f724,,Medium,Done,,,Yasin Turgut,712020:c7948410-318b-48be-9481-8f5ca7cb0f4e,Yasin Turgut,712020:c7948410-318b-48be-9481-8f5ca7cb0f4e,13/Feb/24 5:02 PM,21/Feb/24 3:45 PM,05/Mar/24 6:02 PM,21/Feb/24 3:45 PM,,0,Chatbot Butonu ve Metin Varlık Kontrol,,Yasin Turgut,712020:c7948410-318b-48be-9481-8f5ca7cb0f4e,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@46d1c599,,,,,,,,,,,,,,,,,,,,,,,,,0|i000b6:zzzzzzzzzzzzzzyi,,,,,,,,,,,TOB Sprint 1,,,,,,,,,,,,,,,,,,,10029_*:*_1_*:*_668577018_*|*_3_*:*_1_*:*_17995959_*|*_10020_*:*_1_*:*_0,Done,21/Feb/24 3:45 PM
[TS]-ChatBot,TOB-155,10179,Test Set,Done,TOB,tobeto_education_platform,software,elif,712020:d23410fb-3f92-4227-8a57-0fb51899f724,,Medium,Done,,,Yasin Turgut,712020:c7948410-318b-48be-9481-8f5ca7cb0f4e,Yasin Turgut,712020:c7948410-318b-48be-9481-8f5ca7cb0f4e,13/Feb/24 5:00 PM,20/Feb/24 9:30 PM,05/Mar/24 6:02 PM,20/Feb/24 9:30 PM,,0,,,Yasin Turgut,712020:c7948410-318b-48be-9481-8f5ca7cb0f4e,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@2fb9bc1e,,,,,,,,,,,,,,,,,,,,,,,,,0|i000b6:zzzzzzzzzzzyi,,,,,,,,,,,TOB Sprint 1,,,,,,,,,,,,,,,,,,,10029_*:*_1_*:*_619144776_*|*_3_*:*_1_*:*_1880536_*|*_10020_*:*_1_*:*_0,Done,20/Feb/24 9:30 PM
[TC]-Remove Selected Competency,TOB-154,10178,Test,Done,TOB,tobeto_education_platform,software,elif,712020:d23410fb-3f92-4227-8a57-0fb51899f724,,Medium,Done,Elif ACET,712020:ecdef04b-a9ca-4c71-92d0-bf6ec8a0ee46,Elif ACET,712020:ecdef04b-a9ca-4c71-92d0-bf6ec8a0ee46,Elif ACET,712020:ecdef04b-a9ca-4c71-92d0-bf6ec8a0ee46,13/Feb/24 4:01 PM,20/Feb/24 9:20 PM,05/Mar/24 6:02 PM,20/Feb/24 9:20 PM,,0,:Kullanıcının seçili bir yetkinliği kaldırmak için ikona tıkladığında doğru bir şekilde pop-up ekranın açılıp açılmadığını ve kullanıcının bu pop-up ekran üzerinde doğru şekilde işlem yapabilmesini kontrol etmek.,,Elif ACET,712020:ecdef04b-a9ca-4c71-92d0-bf6ec8a0ee46,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@580cf245,,,,,,,,,,,,,,,,,,,,,,,,,0|i00034:r,,,,,,,,,,,TOB Sprint 1,,,,,,,,,,,,,,,,,,,10029_*:*_1_*:*_622651436_*|*_3_*:*_1_*:*_1273903_*|*_10020_*:*_1_*:*_0,Done,20/Feb/24 9:20 PM
[TC]-Warning message,TOB-153,10177,Test,Done,TOB,tobeto_education_platform,software,elif,712020:d23410fb-3f92-4227-8a57-0fb51899f724,,Medium,Done,Elif ACET,712020:ecdef04b-a9ca-4c71-92d0-bf6ec8a0ee46,Elif ACET,712020:ecdef04b-a9ca-4c71-92d0-bf6ec8a0ee46,Elif ACET,712020:ecdef04b-a9ca-4c71-92d0-bf6ec8a0ee46,13/Feb/24 3:57 PM,21/Feb/24 3:45 PM,05/Mar/24 6:02 PM,21/Feb/24 3:45 PM,,0,Kullanıcının seçili bir yetkinliği kaldırmak istediğinde doğru bir şekilde uyarı mesajının gösterilip gösterilmediğini kontrol etmek.,,Elif ACET,712020:ecdef04b-a9ca-4c71-92d0-bf6ec8a0ee46,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@73346885,,,,,,,,,,,,,,,,,,,,,,,,,0|i000b6:zzzzzzzzzzzzzzy,,,,,,,,,,,TOB Sprint 1,,,,,,,,,,,,,,,,,,,10029_*:*_2_*:*_672485497_*|*_3_*:*_2_*:*_17985342_*|*_10020_*:*_1_*:*_0,Done,21/Feb/24 3:45 PM
