Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Affected hardware),Custom field (Affected services),Custom field (Approvals),Custom field (Backout plan),Custom field (Begin Date),Custom field (Category),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Design),Custom field (Development),Custom field (End Date),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Impact),Custom field (Implementation plan),Custom field (Investigation reason),Custom field (Issue color),Custom field (Locked forms),Custom field (Major incident),Custom field (Open forms),Custom field (Operational categorization),Custom field (Pending reason),Custom field (Planned end),Custom field (Planned start),Custom field (Product categorization),Custom field (Rank),Custom field (Request Type),Custom field (Request language),Custom field (Request participants),Custom field (Responders),Custom field (Revision),Custom field (Root cause),Satisfaction rating,Custom field (Satisfaction date),Custom field (Severity),Custom field (Source),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Test plan),Custom field (Time to close after resolution),Custom field (Time to first response),Custom field (Time to resolution),Custom field (Time to review normal change),Custom field (Total forms),Custom field (Urgency),Custom field (Urgency),Custom field (Work category),Custom field (Workaround),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Status Category,Status Category Changed
[TC]-Checking the “My Foreign Languages” field on the profile creation page.,TOB-219,10243,Test,Done,TOB,tobeto_education_platform,software,elif,712020:d23410fb-3f92-4227-8a57-0fb51899f724,,Medium,Done,,,Yasin Turgut,712020:c7948410-318b-48be-9481-8f5ca7cb0f4e,Yasin Turgut,712020:c7948410-318b-48be-9481-8f5ca7cb0f4e,14/Feb/24 1:36 AM,22/Feb/24 6:20 PM,05/Mar/24 6:02 PM,22/Feb/24 6:20 PM,,0,,,Yasin Turgut,712020:c7948410-318b-48be-9481-8f5ca7cb0f4e,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@7021180c,,,,,,,,,,,,,,,,,,,,,,,,,0|i00033:6,,,,,,,,,,,TOB Sprint 1,,,,,,,,,,,,,,,,,,,10029_*:*_1_*:*_728604673_*|*_3_*:*_1_*:*_22804165_*|*_10020_*:*_1_*:*_0,Done,22/Feb/24 6:20 PM
[TS]-Creating a profile Foreign Languages,TOB-218,10242,Test Set,Done,TOB,tobeto_education_platform,software,elif,712020:d23410fb-3f92-4227-8a57-0fb51899f724,,Medium,Done,,,Yasin Turgut,712020:c7948410-318b-48be-9481-8f5ca7cb0f4e,Yasin Turgut,712020:c7948410-318b-48be-9481-8f5ca7cb0f4e,14/Feb/24 1:35 AM,22/Feb/24 4:44 PM,05/Mar/24 6:02 PM,22/Feb/24 4:44 PM,,0,Profil oluşturma “Yabancı Dillerim”alanı.,,Yasin Turgut,712020:c7948410-318b-48be-9481-8f5ca7cb0f4e,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@62b65606,,,,,,,,,,,,,,,,,,,,,,,,,0|i0013r:,,,,,,,,,,,TOB Sprint 1,,,,,,,,,,,,,,,,,,,10029_*:*_1_*:*_728675267_*|*_3_*:*_1_*:*_17070868_*|*_10020_*:*_1_*:*_0,Done,22/Feb/24 4:44 PM
[TC]-Media account update process control in the “My Media Accounts” area.,TOB-217,10241,Test,Done,TOB,tobeto_education_platform,software,elif,712020:d23410fb-3f92-4227-8a57-0fb51899f724,,Medium,Done,,,Yasin Turgut,712020:c7948410-318b-48be-9481-8f5ca7cb0f4e,Yasin Turgut,712020:c7948410-318b-48be-9481-8f5ca7cb0f4e,14/Feb/24 1:29 AM,22/Feb/24 11:59 AM,05/Mar/24 6:02 PM,22/Feb/24 11:59 AM,,0,Kullanıcı “Medya Hesaplarım” alanından istediği bir medya hesabını güncellenme işlemi.,,Yasin Turgut,712020:c7948410-318b-48be-9481-8f5ca7cb0f4e,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@c96d314,,,,,,,,,,,,,,,,,,,,,,,,,0|i000be:,,,,,,,,,,,TOB Sprint 1,,,,,,,,,,,,,,,,,,,10029_*:*_1_*:*_715806323_*|*_3_*:*_1_*:*_13194342_*|*_10020_*:*_1_*:*_0,Done,22/Feb/24 11:59 AM
"[TC]- Control of media account deletion in the ""My Media Accounts"" area.",TOB-216,10240,Test,Done,TOB,tobeto_education_platform,software,elif,712020:d23410fb-3f92-4227-8a57-0fb51899f724,,Medium,Done,,,Yasin Turgut,712020:c7948410-318b-48be-9481-8f5ca7cb0f4e,Yasin Turgut,712020:c7948410-318b-48be-9481-8f5ca7cb0f4e,14/Feb/24 1:23 AM,22/Feb/24 11:59 AM,05/Mar/24 6:02 PM,22/Feb/24 11:59 AM,,0,Açıklama:Kullanıcı “Medya Hesaplarım” alanından kendisine ait medya hesabı eklemeli.,,Yasin Turgut,712020:c7948410-318b-48be-9481-8f5ca7cb0f4e,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@4287c99b,,,,,,,,,,,,,,,,,,,,,,,,,0|i000bd:i,,,,,,,,,,,TOB Sprint 1,,,,,,,,,,,,,,,,,,,10029_*:*_1_*:*_716164006_*|*_3_*:*_1_*:*_13191062_*|*_10020_*:*_1_*:*_0,Done,22/Feb/24 11:59 AM
[TC]-Control to add media account to “My Media Accounts” area.,TOB-215,10239,Test,Done,TOB,tobeto_education_platform,software,elif,712020:d23410fb-3f92-4227-8a57-0fb51899f724,,Medium,Done,,,Yasin Turgut,712020:c7948410-318b-48be-9481-8f5ca7cb0f4e,Yasin Turgut,712020:c7948410-318b-48be-9481-8f5ca7cb0f4e,14/Feb/24 1:17 AM,22/Feb/24 4:43 PM,05/Mar/24 6:02 PM,22/Feb/24 4:43 PM,,0,Kullanıcı “Medya Hesaplarım” alanından kendisine ait medya hesabı eklemeli.,,Yasin Turgut,712020:c7948410-318b-48be-9481-8f5ca7cb0f4e,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@3b2df910,,,,,,,,,,,,,,,,,,,,,,,,,0|i0013f:,,,,,,,,,,,TOB Sprint 1,,,,,,,,,,,,,,,,,,,10029_*:*_1_*:*_729719111_*|*_3_*:*_1_*:*_17036414_*|*_10020_*:*_1_*:*_0,Done,22/Feb/24 4:43 PM
[TC]- Checking the “My Media Accounts” area on the profile creation page.,TOB-214,10238,Test,Done,TOB,tobeto_education_platform,software,elif,712020:d23410fb-3f92-4227-8a57-0fb51899f724,,Medium,Done,,,Yasin Turgut,712020:c7948410-318b-48be-9481-8f5ca7cb0f4e,Yasin Turgut,712020:c7948410-318b-48be-9481-8f5ca7cb0f4e,14/Feb/24 1:14 AM,22/Feb/24 4:44 PM,05/Mar/24 6:02 PM,22/Feb/24 4:44 PM,,0,,,Yasin Turgut,712020:c7948410-318b-48be-9481-8f5ca7cb0f4e,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@366b1dd6,,,,,,,,,,,,,,,,,,,,,,,,,0|i0013j:,,,,,,,,,,,TOB Sprint 1,,,,,,,,,,,,,,,,,,,10029_*:*_1_*:*_729949477_*|*_3_*:*_1_*:*_17064190_*|*_10020_*:*_1_*:*_0,Done,22/Feb/24 4:44 PM
[TS]-Creating a profile My media accounts,TOB-213,10237,Test Set,Done,TOB,tobeto_education_platform,software,elif,712020:d23410fb-3f92-4227-8a57-0fb51899f724,,Medium,Done,,,Yasin Turgut,712020:c7948410-318b-48be-9481-8f5ca7cb0f4e,Yasin Turgut,712020:c7948410-318b-48be-9481-8f5ca7cb0f4e,14/Feb/24 1:12 AM,22/Feb/24 12:13 AM,05/Mar/24 6:02 PM,22/Feb/24 12:13 AM,,0,Profil oluşturma medya hesaplarım alanı kontrolü.,,Yasin Turgut,712020:c7948410-318b-48be-9481-8f5ca7cb0f4e,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@16085ae8,,,,,,,,,,,,,,,,,,,,,,,,,0|i00033:a,,,,,,,,,,,TOB Sprint 1,,,,,,,,,,,,,,,,,,,10029_*:*_1_*:*_675410865_*|*_3_*:*_1_*:*_12226070_*|*_10020_*:*_1_*:*_0,Done,22/Feb/24 12:13 AM
[TC]- Control to go to the relevant training page when the user clicks on a selected training.,TOB-212,10236,Test,Done,TOB,tobeto_education_platform,software,elif,712020:d23410fb-3f92-4227-8a57-0fb51899f724,,Medium,Done,,,Yasin Turgut,712020:c7948410-318b-48be-9481-8f5ca7cb0f4e,Yasin Turgut,712020:c7948410-318b-48be-9481-8f5ca7cb0f4e,14/Feb/24 1:07 AM,21/Feb/24 11:26 PM,05/Mar/24 6:02 PM,21/Feb/24 11:26 PM,,0,Kullanıcı seçtiği herhangi bir eğitim içeriğine ulaşabilmeli.,,Yasin Turgut,712020:c7948410-318b-48be-9481-8f5ca7cb0f4e,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@7446fe83,,,,,,,,,,,,,,,,,,,,,,,,,0|i00033:n,,,,,,,,,,,TOB Sprint 1,,,,,,,,,,,,,,,,,,,10029_*:*_1_*:*_675665528_*|*_3_*:*_1_*:*_9417106_*|*_10020_*:*_1_*:*_0,Done,21/Feb/24 11:26 PM
[TC]-Filtering and removal,TOB-211,10235,Test,Done,TOB,tobeto_education_platform,software,elif,712020:d23410fb-3f92-4227-8a57-0fb51899f724,,Medium,Done,,,Yasin Turgut,712020:c7948410-318b-48be-9481-8f5ca7cb0f4e,Yasin Turgut,712020:c7948410-318b-48be-9481-8f5ca7cb0f4e,14/Feb/24 1:03 AM,21/Feb/24 11:26 PM,05/Mar/24 6:02 PM,21/Feb/24 11:26 PM,,0,Kullanıcı filtrelemek istedeği alanı seçmeli ve  çıkan ikondan kaldırabilmeli. ,,Yasin Turgut,712020:c7948410-318b-48be-9481-8f5ca7cb0f4e,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@4e728d6c,,,,,,,,,,,,,,,,,,,,,,,,,0|i00033:mi,,,,,,,,,,,TOB Sprint 1,,,,,,,,,,,,,,,,,,,10029_*:*_1_*:*_675934797_*|*_3_*:*_1_*:*_9417478_*|*_10020_*:*_1_*:*_0,Done,21/Feb/24 11:26 PM
[TC]- Sorting by the character the user enters from the keyboard in the sorting box.,TOB-210,10234,Test,Done,TOB,tobeto_education_platform,software,elif,712020:d23410fb-3f92-4227-8a57-0fb51899f724,,Medium,Done,,,Yasin Turgut,712020:c7948410-318b-48be-9481-8f5ca7cb0f4e,Yasin Turgut,712020:c7948410-318b-48be-9481-8f5ca7cb0f4e,14/Feb/24 12:58 AM,21/Feb/24 11:26 PM,05/Mar/24 6:02 PM,21/Feb/24 11:26 PM,,0,"Kullanıcı sıralama ait seçim kutusuna klavyeden giriş yapabilmeli.Tanımlı olmayan bir veri girildiğinde “Seçenek bulunamadı” şekline bir yazı kutucuğun altına görülmelidir.
",,Yasin Turgut,712020:c7948410-318b-48be-9481-8f5ca7cb0f4e,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@24109a61,,,,,,,,,,,,,,,,,,,,,,,,,0|i00033:mr,,,,,,,,,,,TOB Sprint 1,,,,,,,,,,,,,,,,,,,10029_*:*_1_*:*_676222872_*|*_3_*:*_1_*:*_9417930_*|*_10020_*:*_1_*:*_0,Done,21/Feb/24 11:26 PM
